filename,band,gain,exp_time,bg_mean,bg_median,bg_std,bg_mode,masked_frac
20260407T202557_959_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,5879.3837890625,5880.0,487.40966796875,5881.232421875,0.38645278085084983
20260407T202601_929_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,5879.1728515625,5880.0,488.42901611328125,5881.654296875,0.41889080257467565
20260407T202605_899_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,5880.95263671875,5880.0,489.85595703125,5878.0947265625,0.40293108216835966
20260407T202557_959_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,6975.7734375,6960.0,718.1142578125,6928.453125,0.33899162727547016
20260407T202601_929_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,6982.39306640625,6976.0,720.5026245117188,6963.2138671875,0.3236636327064266
20260407T202605_899_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,6987.02001953125,6976.0,717.9979858398438,6953.9599609375,0.31843382278990245
20260407T202717_264_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10038.4189453125,10048.0,953.8649291992188,10067.162109375,0.14667353917328774
20260407T202721_234_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10055.560546875,10064.0,956.40234375,10080.87890625,0.13423074021924972
20260407T202725_204_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,10039.14453125,10048.0,955.2030029296875,10065.7109375,0.14350233832847228
20260407T202717_264_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9534.6103515625,9560.0,757.3726806640625,9610.779296875,0.15014960273559289
20260407T202721_234_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9546.5009765625,9576.0,752.490966796875,9634.998046875,0.14167630493814745
20260407T202725_204_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,9511.23046875,9536.0,752.5516357421875,9585.5390625,0.16617846726340138
20260407T202717_264_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10027.65234375,10032.0,956.8174438476562,10040.6953125,0.1387219652016494
20260407T202721_234_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10033.69140625,10032.0,955.4177856445312,10028.6171875,0.14482550538066982
20260407T202725_204_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,10026.271484375,10032.0,951.718505859375,10043.45703125,0.13325329377451473
20260407T203233_450_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2407.44384765625,2400.0,428.7953186035156,2385.1123046875,0.08974906969727446
