filename,band,gain,exp_time,bg_median,bg_std,flux,m_sky,sigma_m
20260407T195414_417_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5345.0,837.3991088867188,173.21348804583567,18.20481437669877,0.17009620440005813
20260407T195418_388_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5342.0,837.859619140625,173.11626812738152,18.205423941347377,0.17028532169617683
20260407T195422_360_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5339.0,840.6407470703125,173.01904820892736,18.20603384841599,0.1709465553650943
20260407T195426_332_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5341.0,837.6201171875,173.0838614878968,18.20562720563792,0.17026851923431358
20260407T195430_304_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5340.0,835.937744140625,173.05145484841208,18.205830507989372,0.1699583537103889
20260407T195434_276_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5346.0,837.039306640625,173.2458946853204,18.204611264509467,0.16999131597825043
20260407T195438_247_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5374.0,838.2882690429688,174.1532805908926,18.198939495317887,0.1693579407703668
20260407T195442_219_StackInput_DarkSubtracted_r_band.new,red,0.1287112,3.971754,5422.0,841.5123901367188,175.7087992861592,18.189284867449594,0.16850424234072955
20260407T201824_914_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7872.0,774.483642578125,456.7837535393603,17.151992022594232,0.10681617006441443
20260407T201825_188_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7872.0,772.0595092773438,456.7837535393603,17.151992022594232,0.10648183552113977
20260407T201828_885_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7840.0,770.5219116210938,454.92690901277757,17.15641457944135,0.10670352543967111
20260407T201832_855_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,7824.0,769.2184448242188,453.9984867494862,17.158632631703583,0.1067408570482687
20260407T201824_914_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6528.0,523.280517578125,378.7962834228842,17.355254371787932,0.08702905299242805
20260407T201825_188_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6528.0,521.6808471679688,378.7962834228842,17.355254371787932,0.08676300486676834
20260407T201828_885_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6488.0,519.674560546875,376.4752277646557,17.361927633144695,0.08696218717412796
20260407T201832_855_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,6480.0,517.5850219726562,376.01101663301,17.363267221475965,0.08671945344995571
20260407T201824_914_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7872.0,773.9005737304688,456.7837535393603,17.151992022594232,0.1067357536711344
20260407T201825_188_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7856.0,773.4767456054688,455.85533127606897,17.154201049205213,0.1068945650081285
20260407T201828_885_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7840.0,770.5131225585938,454.92690901277757,17.15641457944135,0.10670230831146242
20260407T201832_855_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,7824.0,770.6185302734375,453.9984867494862,17.158632631703583,0.10693514037805102
20260407T202035_003_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2000.0,397.3750305175781,116.05278291142285,18.639629746992494,0.2157150353164673
20260407T202038_973_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2000.0,397.3377075195313,116.05278291142285,18.639629746992494,0.21569477452697758
20260407T202042_943_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,2000.0,397.1823425292969,116.05278291142285,18.639629746992494,0.2156104346420288
20260407T202035_003_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1352.0,241.5121154785156,78.45168124812184,19.064763007138403,0.19394208859099438
20260407T202038_973_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1360.0,242.7606964111328,78.91589237976754,19.0583574652269,0.19379800595115215
20260407T202042_943_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,1360.0,241.5165863037109,78.91589237976754,19.0583574652269,0.1928048218749551
20260407T202035_003_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1984.0,397.5172119140625,115.12436064813147,18.648350566607046,0.21753247831406133
20260407T202038_973_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,2000.0,397.4259033203125,116.05278291142285,18.639629746992494,0.21574265161743167
20260407T202042_943_Transient_DarkSubtracted_r_band.new,red,0.2303646,3.969997,1984.0,397.4372863769531,115.12436064813147,18.648350566607046,0.2174887408364204
20260407T202303_508_Transient_DarkSubtracted_b_band.new,blue,0.2303646,3.969997,3200.0,488.0113525390625,185.68445265827657,18.12932979035268,0.1655731017036438
20260407T202259_538_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,2344.0,304.28289794921875,136.01386157218758,18.467310717787313,0.1409385419383391
20260407T202303_508_Transient_DarkSubtracted_g_band.new,green,0.2303646,3.969997,2344.0,304.885498046875,136.01386157218758,18.467310717787313,0.14121765581462978
